Sr. No.,Title,Location,No. of Bedrooms,No. of Bathrooms,Total Area (Sq.Ft.),Date of Listing,Price
1602,"3 BHK 2085 Sq.ft, Apartment for Sale in Aavalahalli, Bangalore","Aavalahalli, Bangalore",3 Bedrooms,3 Bathrooms,2085 Sq.ft Built Up(193.91 Sq.m),"Dec 15, 2027 Available From",₹2.16 Crores
1603,"4 BHK 2705 Sq.ft, Villa for Sale in Whitefield, Bangalore","Whitefield, Bangalore",4 Bedrooms,4 Bathrooms,2705 Sq.ft Built Up(251.56 Sq.m),"Jul 1, 2025 Available From",₹2.36 Crores
1604,"4+ BHK 2885 Sq.ft, Villa for Sale in Sarjapur Road, Bangalore","Sarjapur Road, Bangalore",4+ Bedrooms,4 Bathrooms,2885 Sq.ft Built Up(268.31 Sq.m),"Jan 28, 2025 Available From",₹2.15 Crores
1605,"2 BHK 950 Sq.ft, Apartment for Sale in Electronic City, Bangalore","Electronic City, Bangalore",2 Bedrooms,1 Bathroom,950 Sq.ft Built Up(88.35 Sq.m),"Jan 28, 2025 Available From",₹90 Lakhs
1606,"4+ BHK 2428 Sq.ft, Apartment for Sale in Whitefield, Bangalore","Whitefield, Bangalore",4+ Bedrooms,4 Bathrooms,2428 Sq.ft Built Up(225.80 Sq.m),"Jan 28, 2025 Available From",₹2.40 Crores
1607,"4 BHK 3387 Sq.ft, Villa for Sale in Off Sarjapur road, Bangalore","Off Sarjapur road, Bangalore",4 Bedrooms,4 Bathrooms,3387 Sq.ft Built Up(314.99 Sq.m),"Jan 28, 2025 Available From",₹3.30 Crores
1608,"3 BHK Apartment for Sale in Horamavu Main Road, Bangalore","Horamavu Main Road, Bangalore",3 Bedrooms,3 Bathrooms,1408 Sq.ft Built Up(130.94 Sq.m),"Nov 28, 2024 Available From",₹87.97 Lakhs
1609,"2 BHK Apartment for Sale in Cox Town, Bangalore","Cox Town, Bangalore",2 Bedrooms,2 Bathrooms,1063 Sq.ft Built Up(98.86 Sq.m),"Nov 28, 2024 Available From",₹79.93 Lakhs
1610,"4+ BHK Villa for Sale in Kodathi, Bangalore","Kodathi, Bangalore",4+ Bedrooms,5 Bathrooms,3939 Sq.ft Built Up(366.33 Sq.m),"Nov 28, 2024 Available From",₹7 Crores
1611,"3 BHK Villa for Sale in Yelahanka, Bangalore","Yelahanka, Bangalore",3 Bedrooms,3 Bathrooms,3693 Sq.ft Built Up(343.45 Sq.m),"Nov 28, 2024 Available From",₹7.50 Crores
1612,"3 BHK Villa for Sale in BTM Layout, Bangalore","BTM Layout, Bangalore",3 Bedrooms,3 Bathrooms,1125 Sq.ft Built Up(104.63 Sq.m),"Nov 28, 2024 Available From",₹3.60 Crores
1613,"4+ BHK Villa for Sale in Yelahanka, Bangalore","Yelahanka, Bangalore",4+ Bedrooms,5 Bathrooms,4683 Sq.ft Built Up(435.52 Sq.m),"Nov 28, 2024 Available From",₹9 Crores
1614,"4+ BHK Villa for Sale in Ittangur, Bangalore","Ittangur, Bangalore",4+ Bedrooms,5 Bathrooms,2867 Sq.ft Built Up(266.63 Sq.m),"Nov 28, 2024 Available From",₹2.58 Crores
1615,"3 BHK 1663 Sq.ft, Apartment for Sale in Thanisandra, Bangalore","Thanisandra, Bangalore",3 Bedrooms,2 Bathrooms,1663 Sq.ft Built Up(154.66 Sq.m),"Mar 3, 2025 Available From",₹2.70 Crores
1616,"2 BHK 1360 Sqft Apartment for Sale in Sarjapur Road, Bangalore","Sarjapur Road, Bangalore",2 Bedrooms,2 Bathrooms,1360 Sq.ft Built Up(126.48 Sq.m),"Nov 19, 2024 Available From",₹1.35 Crores
1617,"3 BHK 1389 Sq.ft, Apartment for Sale in Devanahalli, Bangalore","Devanahalli, Bangalore",3 Bedrooms,1 Bathroom,1389 Sq.ft Built Up(129.18 Sq.m),"Jun 1, 2028 Available From",₹1.14 Crores
1618,"3 BHK 1490 Sqft Apartment for Sale in Sarjapur Road, Bangalore","Sarjapur Road, Bangalore",3 Bedrooms,3 Bathrooms,1490 Sq.ft Built Up(138.57 Sq.m),"Nov 19, 2024 Available From",₹1.65 Crores
1619,"2 BHK 1250 Sq.ft, Apartment for Sale in Kogilu, Bangalore","Kogilu, Bangalore",2 Bedrooms,2 Bathrooms,1250 Sq.ft Built Up(116.25 Sq.m),"Jan 29, 2025 Available From",₹2 Crores
1620,"2 BHK 1380 Sq.ft, Apartment for Sale in Whitefield, Bangalore","Whitefield, Bangalore",2 Bedrooms,2 Bathrooms,1380 Sq.ft Built Up(128.34 Sq.m),"Jan 25, 2025 Available From",₹1.70 Crores
1621,"3 BHK Apartment for Sale in Kadugodi, Bangalore","Kadugodi, Bangalore",3 Bedrooms,3 Bathrooms,1790 Sq.ft Built Up(166.47 Sq.m),"Nov 28, 2024 Available From",₹1.85 Crores
1622,"3 BHK Apartment for Sale in Thanisandra Main Road, Bangalore","Thanisandra Main Road, Bangalore",3 Bedrooms,3 Bathrooms,1600 Sq.ft Built Up(148.80 Sq.m),"Nov 28, 2024 Available From",₹1.49 Crores
1623,"4+ BHK Apartment for Sale in Off Hennur Road, Bangalore","Off Hennur Road, Bangalore",4+ Bedrooms,5 Bathrooms,3188 Sq.ft Built Up(296.48 Sq.m),"Nov 28, 2024 Available From",₹4.70 Crores
1624,"3 BHK Apartment for Sale in Gopasandra, Bangalore","Gopasandra, Bangalore",3 Bedrooms,3 Bathrooms,1523 Sq.ft Built Up(141.64 Sq.m),"Nov 28, 2024 Available From",₹1.02 Crores
1625,"3 BHK Apartment for Sale in Gunjur, Bangalore","Gunjur, Bangalore",3 Bedrooms,3 Bathrooms,1860 Sq.ft Built Up(172.98 Sq.m),"Nov 28, 2024 Available From",₹2.34 Crores
1626,"3 BHK Apartment for Sale in JP Nagar, Bangalore","JP Nagar, Bangalore",3 Bedrooms,3 Bathrooms,1416 Sq.ft Built Up(131.69 Sq.m),"Nov 28, 2024 Available From",₹89 Lakhs
1627,"2 BHK Apartment for Sale in Kacharakanahalli, Bangalore","Kacharakanahalli, Bangalore",2 Bedrooms,2 Bathrooms,1383 Sq.ft Built Up(128.62 Sq.m),"Nov 28, 2024 Available From",₹99 Lakhs
1628,"1 BHK Apartment for Sale in Budigere Road, Bangalore","Budigere Road, Bangalore",1 Bedroom,1 Bathroom,468 Sq.ft Built Up(43.52 Sq.m),"Nov 28, 2024 Available From",₹69 Lakhs
1629,"2 BHK Apartment for Sale in Cooke Town, Bangalore","Cooke Town, Bangalore",2 Bedrooms,2 Bathrooms,1266 Sq.ft Built Up(117.74 Sq.m),"Nov 28, 2024 Available From",₹92.42 Lakhs
1630,"3 BHK Apartment for Sale in Rajaji Nagar, Bangalore","Rajaji Nagar, Bangalore",3 Bedrooms,3 Bathrooms,1744 Sq.ft Built Up(162.19 Sq.m),"Nov 28, 2024 Available From",₹5.60 Crores
1631,"2 BHK Apartment for Sale in Kacharakanahalli, Bangalore","Kacharakanahalli, Bangalore",2 Bedrooms,2 Bathrooms,1041 Sq.ft Built Up(96.81 Sq.m),"Nov 28, 2024 Available From",₹75 Lakhs
1632,"2 BHK Apartment for Sale in Thirumenahalli, Bangalore","Thirumenahalli, Bangalore",2 Bedrooms,2 Bathrooms,1180 Sq.ft Built Up(109.74 Sq.m),"Nov 28, 2024 Available From",₹1.23 Crores
1633,"3 BHK 2700 Sqft Villa for Sale in Jigani, Bangalore","Jigani, Bangalore",3 Bedrooms,3 Bathrooms,2700 Sq.ft Built Up(251.10 Sq.m),"Jan 16, 2025 Available From",₹1.25 Crores
1634,"4+ BHK 3466 Sqft Villa for Sale in Anekal, Bangalore","Anekal, Bangalore",4+ Bedrooms,5 Bathrooms,3466 Sq.ft Built Up(322.34 Sq.m),"Dec 25, 2028 Available From",₹5.09 Crores
1635,"4+ BHK 2028 Sq.ft, Villa for Sale in Muthusandra, Bangalore","Muthusandra, Bangalore",4+ Bedrooms,4 Bathrooms,2028 Sq.ft Built Up(188.60 Sq.m),"Jan 25, 2025 Available From",₹1.75 Crores
1636,"3 BHK 1881 Sq.ft, Apartment for Sale in Sarjapur Road, Bangalore","Sarjapur Road, Bangalore",3 Bedrooms,2 Bathrooms,1881 Sq.ft Built Up(174.93 Sq.m),"Dec 20, 2029 Available From",₹2.28 Crores
1637,"4+ BHK 4027 Sq.ft, Villa for Sale in Off Sarjapur road, Bangalore","Off Sarjapur road, Bangalore",4+ Bedrooms,5 Bathrooms,4027 Sq.ft Built Up(374.51 Sq.m),"Dec 31, 2028 Available From",₹4 Crores
1638,"2 BHK Apartment for Sale in Gopasandra, Bangalore","Gopasandra, Bangalore",2 Bedrooms,2 Bathrooms,1335 Sq.ft Built Up(124.16 Sq.m),"Nov 28, 2024 Available From",₹90 Lakhs
1639,"3 BHK Apartment for Sale in Cox Town, Bangalore","Cox Town, Bangalore",3 Bedrooms,3 Bathrooms,1266 Sq.ft Built Up(117.74 Sq.m),"Nov 28, 2024 Available From",₹92.42 Lakhs
1640,"4+ BHK Apartment for Sale in Rajaji Nagar, Bangalore","Rajaji Nagar, Bangalore",4+ Bedrooms,5 Bathrooms,3516 Sq.ft Built Up(326.99 Sq.m),"Nov 28, 2024 Available From",₹8.70 Crores
1641,"2 BHK Apartment for Sale in Gopasandra, Bangalore","Gopasandra, Bangalore",2 Bedrooms,2 Bathrooms,1326 Sq.ft Built Up(123.32 Sq.m),"Nov 28, 2024 Available From",₹89 Lakhs
1642,"3 BHK Apartment for Sale in Gunjur, Bangalore","Gunjur, Bangalore",3 Bedrooms,3 Bathrooms,1860 Sq.ft Built Up(172.98 Sq.m),"Nov 28, 2024 Available From",₹2.30 Crores
1643,"4+ BHK Apartment for Sale in Thanisandra Main Road, Bangalore","Thanisandra Main Road, Bangalore",4+ Bedrooms,5 Bathrooms,2502 Sq.ft Built Up(232.69 Sq.m),"Feb 2, 2028 Available From",₹2.88 Crores
1644,"4 BHK Apartment for Sale in Rajaji Nagar, Bangalore","Rajaji Nagar, Bangalore",4 Bedrooms,4 Bathrooms,2124 Sq.ft Built Up(197.53 Sq.m),"Nov 28, 2024 Available From",₹2.40 Crores
1645,"3 BHK Apartment for Sale in Varthur, Bangalore","Varthur, Bangalore",3 Bedrooms,3 Bathrooms,1686 Sq.ft Built Up(156.80 Sq.m),"Nov 28, 2024 Available From",₹1.65 Crores
1646,"3 BHK Apartment for Sale in Yelahanka, Bangalore","Yelahanka, Bangalore",3 Bedrooms,3 Bathrooms,1686 Sq.ft Built Up(156.80 Sq.m),"Nov 28, 2024 Available From",₹2.06 Crores
1647,"3 BHK Apartment for Sale in JP Nagar, Bangalore","JP Nagar, Bangalore",3 Bedrooms,3 Bathrooms,1408 Sq.ft Built Up(130.94 Sq.m),"Nov 28, 2024 Available From",₹85 Lakhs
1648,"2 BHK Apartment for Sale in Thanisandra Main Road, Bangalore","Thanisandra Main Road, Bangalore",2 Bedrooms,2 Bathrooms,1144 Sq.ft Built Up(106.39 Sq.m),"Nov 28, 2024 Available From",₹1.25 Crores
1649,"3 BHK Apartment for Sale in Thanisandra Main Road, Bangalore","Thanisandra Main Road, Bangalore",3 Bedrooms,3 Bathrooms,1679 Sq.ft Built Up(156.15 Sq.m),"Feb 2, 2028 Available From",₹1.90 Crores
1650,"3 BHK Apartment for Sale in Bagaluru, Bangalore","Bagaluru, Bangalore",3 Bedrooms,3 Bathrooms,1289 Sq.ft Built Up(119.88 Sq.m),"Nov 28, 2024 Available From",₹1.10 Crores
1651,"3 BHK Apartment for Sale in Budigere Cross, Bangalore","Budigere Cross, Bangalore",3 Bedrooms,1 Bathroom,2473 Sq.ft Built Up(229.99 Sq.m),"Nov 27, 2024 Available From",₹2.65 Crores
1652,"2 BHK 1639 Sq.ft, Apartment for Sale in Kanakapura Road, Bangalore","Kanakapura Road, Bangalore",2 Bedrooms,2 Bathrooms,1639 Sq.ft Built Up(152.43 Sq.m),"Jun 30, 2027 Available From",₹1.07 Crores
1653,"2 BHK 1085 Sqft Apartment for Sale in Sarjapur Road, Bangalore","Sarjapur Road, Bangalore",2 Bedrooms,2 Bathrooms,1085 Sq.ft Built Up(100.91 Sq.m),"Nov 19, 2024 Available From",₹1.02 Crores
1654,"4+ BHK 1970 Sqft Apartment for Sale in Whitefield, Bangalore","Whitefield, Bangalore",4+ Bedrooms,5 Bathrooms,1970 Sq.ft Built Up(183.21 Sq.m),"Dec 1, 2026 Available From",₹2.33 Crores
1655,"3 BHK 1435 Sqft Apartment for Sale in Sarjapur Road, Bangalore","Sarjapur Road, Bangalore",3 Bedrooms,3 Bathrooms,1435 Sq.ft Built Up(133.46 Sq.m),"Nov 19, 2024 Available From",₹1.33 Crores
1656,"3 BHK Apartment for Sale in Doddanekkundi, Bangalore","Doddanekkundi, Bangalore",3 Bedrooms,3 Bathrooms,1419 Sq.ft Built Up(131.97 Sq.m),"Nov 28, 2024 Available From",₹2.25 Crores
1657,"4+ BHK Apartment for Sale in Peenya, Bangalore","Peenya, Bangalore",4+ Bedrooms,5 Bathrooms,2600 Sq.ft Built Up(241.80 Sq.m),"Nov 28, 2024 Available From",₹4.67 Crores
1658,"3 BHK Apartment for Sale in Yelahanka, Bangalore","Yelahanka, Bangalore",3 Bedrooms,3 Bathrooms,1667 Sq.ft Built Up(155.03 Sq.m),"Nov 28, 2024 Available From",₹1.99 Crores
1659,"2 BHK Apartment for Sale in Thanisandra Main Road, Bangalore","Thanisandra Main Road, Bangalore",2 Bedrooms,2 Bathrooms,1192 Sq.ft Built Up(110.86 Sq.m),"Nov 28, 2024 Available From",₹1.05 Crores
1660,"3 BHK Apartment for Sale in Muddenahalli, Bangalore","Muddenahalli, Bangalore",3 Bedrooms,3 Bathrooms,1650 Sq.ft Built Up(153.45 Sq.m),"Nov 28, 2024 Available From",₹1.60 Crores
1661,"3 BHK Apartment for Sale in Gunjur, Bangalore","Gunjur, Bangalore",3 Bedrooms,3 Bathrooms,1860 Sq.ft Built Up(172.98 Sq.m),"Nov 28, 2024 Available From",₹2.25 Crores
1662,"3 BHK Apartment for Sale in HSR Layout, Bangalore","HSR Layout, Bangalore",3 Bedrooms,3 Bathrooms,1950 Sq.ft Built Up(181.35 Sq.m),"Nov 28, 2024 Available From",₹1.95 Crores
1663,"4 BHK Apartment for Sale in Manyata Tech Park, Bangalore","Manyata Tech Park, Bangalore",4 Bedrooms,4 Bathrooms,3625 Sq.ft Built Up(337.13 Sq.m),"Nov 28, 2024 Available From",₹3.45 Crores
1664,"3 BHK Apartment for Sale in Manyata Tech Park, Bangalore","Manyata Tech Park, Bangalore",3 Bedrooms,3 Bathrooms,2300 Sq.ft Built Up(213.90 Sq.m),"Nov 28, 2024 Available From",₹3.04 Crores
1665,"3 BHK Apartment for Sale in Rajaji Nagar, Bangalore","Rajaji Nagar, Bangalore",3 Bedrooms,3 Bathrooms,1744 Sq.ft Built Up(162.19 Sq.m),"Nov 28, 2024 Available From",₹5 Crores
1666,"2 BHK Apartment for Sale in Choodasandra, Bangalore","Choodasandra, Bangalore",2 Bedrooms,2 Bathrooms,1346 Sq.ft Built Up(125.18 Sq.m),"Nov 28, 2024 Available From",₹94.22 Lakhs
1667,"3 BHK Apartment for Sale in Kadugodi, Bangalore","Kadugodi, Bangalore",3 Bedrooms,3 Bathrooms,1790 Sq.ft Built Up(166.47 Sq.m),"Nov 28, 2024 Available From",₹1.85 Crores
1668,"3 BHK Apartment for Sale in Yelahanka, Bangalore","Yelahanka, Bangalore",3 Bedrooms,3 Bathrooms,1868 Sq.ft Built Up(173.72 Sq.m),"Nov 28, 2024 Available From",₹2.33 Crores
1669,"3 BHK Apartment for Sale in Thanisandra Main Road, Bangalore","Thanisandra Main Road, Bangalore",3 Bedrooms,3 Bathrooms,1600 Sq.ft Built Up(148.80 Sq.m),"Nov 28, 2024 Available From",₹1.49 Crores
1670,"3 BHK Apartment for Sale in Gunjur, Bangalore","Gunjur, Bangalore",3 Bedrooms,3 Bathrooms,1496 Sq.ft Built Up(139.13 Sq.m),"Nov 28, 2024 Available From",₹1.69 Crores
1671,"3 BHK 2292 Sqft Apartment for Sale in Whitefield, Bangalore","Whitefield, Bangalore",3 Bedrooms,3 Bathrooms,2292 Sq.ft Built Up(213.16 Sq.m),"Nov 19, 2024 Available From",₹3.50 Crores
1672,"1 BHK 692 Sq.ft, Apartment for Sale in Hoskote, Bangalore","Hoskote, Bangalore",1 Bedroom,1 Bathroom,692 Sq.ft Built Up(64.36 Sq.m),"Nov 8, 2024 Available From",₹42 Lakhs
1673,"4+ BHK 3339 Sqft Villa for Sale in Sarjapur, Bangalore","Sarjapur, Bangalore",4+ Bedrooms,5 Bathrooms,3339 Sq.ft Built Up(310.53 Sq.m),"Jan 21, 2025 Available From",₹6.40 Crores
1674,"3 BHK 1314 Sqft Apartment for Sale in Bagalur Road, Bangalore","Bagalur Road, Bangalore",3 Bedrooms,3 Bathrooms,1314 Sq.ft Built Up(122.20 Sq.m),"Dec 30, 2028 Available From",₹1.06 Crores
1675,"2 BHK Apartment for Sale in Bagaluru, Bangalore","Bagaluru, Bangalore",2 Bedrooms,2 Bathrooms,1057 Sq.ft Built Up(98.30 Sq.m),"Nov 28, 2024 Available From",₹89 Lakhs
1676,"3 BHK Apartment for Sale in Gattahalli, Bangalore","Gattahalli, Bangalore",3 Bedrooms,3 Bathrooms,1867 Sq.ft Built Up(173.63 Sq.m),"Nov 28, 2024 Available From",₹1.75 Crores
1677,"2 BHK Apartment for Sale in Thanisandra Main Road, Bangalore","Thanisandra Main Road, Bangalore",2 Bedrooms,2 Bathrooms,1154 Sq.ft Built Up(107.32 Sq.m),"Nov 2, 2028 Available From",₹1.19 Crores
1678,"3 BHK Apartment for Sale in TC Palya Road, Bangalore","TC Palya Road, Bangalore",3 Bedrooms,3 Bathrooms,1513 Sq.ft Built Up(140.71 Sq.m),"Nov 28, 2024 Available From",₹91.21 Lakhs
1679,"4+ BHK Apartment for Sale in Thanisandra Main Road, Bangalore","Thanisandra Main Road, Bangalore",4+ Bedrooms,5 Bathrooms,2464 Sq.ft Built Up(229.15 Sq.m),"Feb 2, 2028 Available From",₹2.80 Crores
1680,"2 BHK Apartment for Sale in Thanisandra Main Road, Bangalore","Thanisandra Main Road, Bangalore",2 Bedrooms,2 Bathrooms,1154 Sq.ft Built Up(107.32 Sq.m),"Nov 2, 2028 Available From",₹1.24 Crores
1681,"2 BHK Apartment for Sale in JP Nagar, Bangalore","JP Nagar, Bangalore",2 Bedrooms,2 Bathrooms,1355 Sq.ft Built Up(126.02 Sq.m),"Nov 28, 2024 Available From",₹98.71 Lakhs
1682,"4+ BHK Apartment for Sale in Rajaji Nagar, Bangalore","Rajaji Nagar, Bangalore",4+ Bedrooms,5 Bathrooms,3600 Sq.ft Built Up(334.80 Sq.m),"Nov 28, 2024 Available From",₹9 Crores
1683,"3 BHK Apartment for Sale in Doddanekkundi, Bangalore","Doddanekkundi, Bangalore",3 Bedrooms,3 Bathrooms,2513 Sq.ft Built Up(233.71 Sq.m),"Nov 28, 2024 Available From",₹3.10 Crores
1684,"4 BHK Villa for Sale in Gattahalli, Bangalore","Gattahalli, Bangalore",4 Bedrooms,2 Bathrooms,4841 Sq.ft Built Up(450.21 Sq.m),"Nov 27, 2024 Available From",₹7.72 Crores
1685,"4 BHK Villa for Sale in Gattahalli, Bangalore","Gattahalli, Bangalore",4 Bedrooms,2 Bathrooms,3379 Sq.ft Built Up(314.25 Sq.m),"Nov 27, 2024 Available From",₹5.39 Crores
1686,"3 BHK Apartment for Sale in Thanisandra Main Road, Bangalore","Thanisandra Main Road, Bangalore",3 Bedrooms,3 Bathrooms,1679 Sq.ft Built Up(156.15 Sq.m),"Feb 2, 2028 Available From",₹1.76 Crores
1687,"3 BHK Apartment for Sale in Bagaluru, Bangalore","Bagaluru, Bangalore",3 Bedrooms,3 Bathrooms,1427 Sq.ft Built Up(132.71 Sq.m),"Nov 28, 2024 Available From",₹1.40 Crores
1688,"3 BHK Villa for Sale in Anekal, Bangalore","Anekal, Bangalore",3 Bedrooms,3 Bathrooms,3335 Sq.ft Built Up(310.15 Sq.m),"Jan 5, 2027 Available From",₹5.88 Crores
1689,"2 BHK 1230 Sqft Apartment for Sale in Sarjapur Road, Bangalore","Sarjapur Road, Bangalore",2 Bedrooms,2 Bathrooms,1230 Sq.ft Built Up(114.39 Sq.m),"Nov 19, 2024 Available From",₹1.15 Crores
1690,"3 BHK 1700 Sq.ft, Apartment for Sale in Bannerghatta Road, Bangalore","Bannerghatta Road, Bangalore",3 Bedrooms,3 Bathrooms,1700 Sq.ft Built Up(158.10 Sq.m),"Aug 31, 2028 Available From",₹2.90 Crores
1691,"2 BHK 1525 Sqft Apartment for Sale in Hosur Road, Bangalore","Hosur Road, Bangalore",2 Bedrooms,2 Bathrooms,1525 Sq.ft Built Up(141.82 Sq.m),"Dec 12, 2026 Available From",₹1.46 Crores
1692,"4+ BHK 2451 Sq.ft, Apartment for Sale in Whitefield, Bangalore","Whitefield, Bangalore",4+ Bedrooms,2 Bathrooms,2451 Sq.ft Built Up(227.94 Sq.m),"Dec 10, 2028 Available From",₹3.48 Crores
1693,"2 BHK Apartment for Sale in Thanisandra Main Road, Bangalore","Thanisandra Main Road, Bangalore",2 Bedrooms,2 Bathrooms,1144 Sq.ft Built Up(106.39 Sq.m),"Nov 28, 2024 Available From",₹1.25 Crores
1694,"3 BHK Apartment for Sale in Thanisandra Main Road, Bangalore","Thanisandra Main Road, Bangalore",3 Bedrooms,3 Bathrooms,1679 Sq.ft Built Up(156.15 Sq.m),"Feb 2, 2028 Available From",₹1.76 Crores
1695,"3 BHK Apartment for Sale in Thanisandra Main Road, Bangalore","Thanisandra Main Road, Bangalore",3 Bedrooms,3 Bathrooms,1679 Sq.ft Built Up(156.15 Sq.m),"Feb 2, 2028 Available From",₹1.90 Crores
1696,"3 BHK Apartment for Sale in Bagaluru, Bangalore","Bagaluru, Bangalore",3 Bedrooms,3 Bathrooms,1289 Sq.ft Built Up(119.88 Sq.m),"Nov 28, 2024 Available From",₹1.10 Crores
1697,"3 BHK Apartment for Sale in Budigere Cross, Bangalore","Budigere Cross, Bangalore",3 Bedrooms,1 Bathroom,2473 Sq.ft Built Up(229.99 Sq.m),"Nov 27, 2024 Available From",₹2.65 Crores
1698,"4+ BHK Apartment for Sale in Varthur, Bangalore","Varthur, Bangalore",4+ Bedrooms,5 Bathrooms,2544 Sq.ft Built Up(236.59 Sq.m),"Nov 28, 2024 Available From",₹3.56 Crores
1699,"2 BHK Apartment for Sale in Gunjur, Bangalore","Gunjur, Bangalore",2 Bedrooms,1 Bathroom,1235 Sq.ft Built Up(114.86 Sq.m),"Nov 27, 2024 Available From",₹2.09 Crores
1700,"4+ BHK Villa for Sale in Hennur, Bangalore","Hennur, Bangalore",4+ Bedrooms,5 Bathrooms,3255 Sq.ft Built Up(302.71 Sq.m),"Nov 27, 2024 Available From",₹5.85 Crores
1701,"2 BHK Apartment for Sale in Varthur, Bangalore","Varthur, Bangalore",2 Bedrooms,1 Bathroom,906 Sq.ft Built Up(84.26 Sq.m),"Nov 27, 2024 Available From",₹1.62 Crores
1702,"2 BHK Apartment for Sale in Gunjur, Bangalore","Gunjur, Bangalore",2 Bedrooms,1 Bathroom,936 Sq.ft Built Up(87.05 Sq.m),"Nov 27, 2024 Available From",₹1.64 Crores
1703,"3 BHK Apartment for Sale in Varthur, Bangalore","Varthur, Bangalore",3 Bedrooms,1 Bathroom,1018 Sq.ft Built Up(94.67 Sq.m),"Nov 27, 2024 Available From",₹1.88 Crores
1704,"3 BHK Apartment for Sale in Gattahalli, Bangalore","Gattahalli, Bangalore",3 Bedrooms,1 Bathroom,1804 Sq.ft Built Up(167.77 Sq.m),"Nov 27, 2024 Available From",₹2.79 Crores
1705,"3 BHK Apartment for Sale in Hennur, Bangalore","Hennur, Bangalore",3 Bedrooms,1 Bathroom,2457 Sq.ft Built Up(228.50 Sq.m),"Jan 2, 2026 Available From",₹2.42 Crores
1706,"4+ BHK Apartment for Sale in Rajaji Nagar, Bangalore","Rajaji Nagar, Bangalore",4+ Bedrooms,5 Bathrooms,1953 Sq.ft Built Up(181.63 Sq.m),"Nov 27, 2024 Available From",₹5.38 Crores
1707,"3 BHK 1201 Sq.ft, Apartment for Sale in Hosur Road, Bangalore","Hosur Road, Bangalore",3 Bedrooms,1 Bathroom,1201 Sq.ft Built Up(111.69 Sq.m),"Jan 25, 2025 Available From",₹1.25 Crores
1708,"2 BHK 1131 Sq.ft, Apartment for Sale in Bellandur, Bangalore","Bellandur, Bangalore",2 Bedrooms,2 Bathrooms,1131 Sq.ft Built Up(105.18 Sq.m),"Nov 15, 2024 Available From",₹1.80 Crores
1709,"3 BHK 1440 Sqft Apartment for Sale in Sarjapur Road, Bangalore","Sarjapur Road, Bangalore",3 Bedrooms,3 Bathrooms,1440 Sq.ft Built Up(133.92 Sq.m),"Nov 19, 2024 Available From",₹1.33 Crores
1710,"1 BHK Apartment for Sale in Sarjapur Road, Bangalore","Sarjapur Road, Bangalore",1 Bedroom,1 Bathroom,649 Sq.ft Built Up(60.36 Sq.m),"Jan 5, 2025 Available From",₹80 Lakhs
1711,"3 BHK 1276 Sq.ft, Apartment for Sale in Whitefield, Bangalore","Whitefield, Bangalore",3 Bedrooms,1 Bathroom,1276 Sq.ft Built Up(118.67 Sq.m),"Dec 31, 2028 Available From",₹2.80 Crores
1712,"3 BHK Apartment for Sale in Thanisandra Main Road, Bangalore","Thanisandra Main Road, Bangalore",3 Bedrooms,3 Bathrooms,1610 Sq.ft Built Up(149.73 Sq.m),"Nov 28, 2024 Available From",₹1.77 Crores
1713,"4+ BHK Apartment for Sale in Rajaji Nagar, Bangalore","Rajaji Nagar, Bangalore",4+ Bedrooms,5 Bathrooms,1910 Sq.ft Built Up(177.63 Sq.m),"Nov 28, 2024 Available From",₹6 Crores
1714,"4+ BHK Apartment for Sale in Peenya, Bangalore","Peenya, Bangalore",4+ Bedrooms,5 Bathrooms,2600 Sq.ft Built Up(241.80 Sq.m),"Nov 28, 2024 Available From",₹4.67 Crores
1715,"4 BHK Apartment for Sale in Rajaji Nagar, Bangalore","Rajaji Nagar, Bangalore",4 Bedrooms,4 Bathrooms,2310 Sq.ft Built Up(214.83 Sq.m),"Nov 28, 2024 Available From",₹4.20 Crores
1716,"3 BHK Apartment for Sale in Gattahalli, Bangalore","Gattahalli, Bangalore",3 Bedrooms,3 Bathrooms,1867 Sq.ft Built Up(173.63 Sq.m),"Nov 28, 2024 Available From",₹1.83 Crores
1717,"3 BHK Apartment for Sale in Muddenahalli, Bangalore","Muddenahalli, Bangalore",3 Bedrooms,3 Bathrooms,1650 Sq.ft Built Up(153.45 Sq.m),"Nov 28, 2024 Available From",₹1.60 Crores
1718,"3 BHK Apartment for Sale in Budigere Road, Bangalore","Budigere Road, Bangalore",3 Bedrooms,3 Bathrooms,1813 Sq.ft Built Up(168.61 Sq.m),"Nov 28, 2024 Available From",₹2.56 Crores
1719,"3 BHK Apartment for Sale in Choodasandra, Bangalore","Choodasandra, Bangalore",3 Bedrooms,3 Bathrooms,1589 Sq.ft Built Up(147.78 Sq.m),"Nov 28, 2024 Available From",₹1.11 Crores
1720,"3 BHK Apartment for Sale in Horamavu Main Road, Bangalore","Horamavu Main Road, Bangalore",3 Bedrooms,3 Bathrooms,1408 Sq.ft Built Up(130.94 Sq.m),"Nov 28, 2024 Available From",₹85.41 Lakhs
1721,"3 BHK Apartment for Sale in Thanisandra Main Road, Bangalore","Thanisandra Main Road, Bangalore",3 Bedrooms,3 Bathrooms,2990 Sq.ft Built Up(278.07 Sq.m),"Nov 28, 2024 Available From",₹4.75 Crores
